2018-10-03 23:09:00,711 INFO  [org.jboss.modules] (main) JBoss Modules version 1.8.6.Final
2018-10-03 23:09:01,128 INFO  [org.jboss.msc] (main) JBoss MSC version 1.4.5.Final
2018-10-03 23:09:01,137 INFO  [org.jboss.threads] (main) JBoss Threads version 2.3.2.Final
2018-10-03 23:09:01,276 INFO  [org.jboss.as] (MSC service thread 1-1) WFLYSRV0049: WildFly Core 7.0.0.Alpha3-SNAPSHOT starting
2018-10-03 23:09:01,409 INFO  [org.xnio] (MSC service thread 1-6) XNIO version 3.6.5.Final
2018-10-03 23:09:01,416 INFO  [org.xnio.nio] (MSC service thread 1-6) XNIO NIO Implementation Version 3.6.5.Final
2018-10-03 23:09:01,462 INFO  [org.jboss.remoting] (MSC service thread 1-8) JBoss Remoting version 5.0.8.Final
2018-10-03 23:09:01,847 INFO  [org.wildfly.security] (ServerService Thread Pool -- 3) ELY00001: WildFly Elytron version 1.7.0.CR2
2018-10-03 23:09:02,625 INFO  [org.wildfly.extension.io] (ServerService Thread Pool -- 13) WFLYIO001: Worker 'default' has auto-configured to 8 core threads with 64 task threads based on your 4 available processors
2018-10-03 23:09:02,668 INFO  [org.jboss.as.patching] (MSC service thread 1-5) WFLYPAT0050: WildFly cumulative patch ID is: base, one-off patches include: none
23:09:02,752 INFO  [org.jboss.as.server] (Controller Boot Thread) WFLYSRV0212: Resuming server
23:09:02,755 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Core 7.0.0.Alpha3-SNAPSHOT started in 2876ms - Started 49 of 68 services (26 services are lazy, passive or on-demand)
23:09:18,304 INFO  [org.jboss.as.server] (main) WFLYSRV0240: ProcessController has signalled to shut down; shutting down
23:09:18,307 INFO  [org.jboss.as.server] (Thread-9) WFLYSRV0236: Suspending server with no timeout.
23:09:18,341 INFO  [org.jboss.as] (MSC service thread 1-7) WFLYSRV0050: WildFly Core 7.0.0.Alpha3-SNAPSHOT stopped in 24ms
23:09:24,010 INFO  [org.jboss.modules] (main) JBoss Modules version 1.8.6.Final
23:09:24,448 INFO  [org.jboss.msc] (main) JBoss MSC version 1.4.5.Final
23:09:24,456 INFO  [org.jboss.threads] (main) JBoss Threads version 2.3.2.Final
23:09:24,595 INFO  [org.jboss.as] (MSC service thread 1-2) WFLYSRV0049: WildFly Core 7.0.0.Alpha3-SNAPSHOT starting
23:09:24,683 INFO  [org.xnio] (MSC service thread 1-2) XNIO version 3.6.5.Final
23:09:24,698 INFO  [org.xnio.nio] (MSC service thread 1-2) XNIO NIO Implementation Version 3.6.5.Final
23:09:24,733 INFO  [org.jboss.remoting] (MSC service thread 1-7) JBoss Remoting version 5.0.8.Final
23:09:25,091 INFO  [org.wildfly.security] (ServerService Thread Pool -- 2) ELY00001: WildFly Elytron version 1.7.0.CR2
23:09:25,855 INFO  [org.wildfly.extension.io] (ServerService Thread Pool -- 13) WFLYIO001: Worker 'default' has auto-configured to 8 core threads with 64 task threads based on your 4 available processors
23:09:25,901 INFO  [org.jboss.as.patching] (MSC service thread 1-7) WFLYPAT0050: WildFly cumulative patch ID is: base, one-off patches include: none
23:09:26,000 INFO  [org.jboss.as.server] (Controller Boot Thread) WFLYSRV0212: Resuming server
23:09:26,003 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Core 7.0.0.Alpha3-SNAPSHOT started in 2661ms - Started 49 of 68 services (26 services are lazy, passive or on-demand)
23:09:40,952 INFO  [org.jboss.as.server] (main) WFLYSRV0240: ProcessController has signalled to shut down; shutting down
23:09:40,954 INFO  [org.jboss.as.server] (Thread-9) WFLYSRV0236: Suspending server with no timeout.
23:09:40,990 INFO  [org.jboss.as] (MSC service thread 1-4) WFLYSRV0050: WildFly Core 7.0.0.Alpha3-SNAPSHOT stopped in 31ms
