2018-10-03 22:55:01,744 INFO  [org.jboss.modules] (main) JBoss Modules version 1.8.6.Final
2018-10-03 22:55:02,167 INFO  [org.jboss.msc] (main) JBoss MSC version 1.4.5.Final
2018-10-03 22:55:02,176 INFO  [org.jboss.threads] (main) JBoss Threads version 2.3.2.Final
2018-10-03 22:55:02,313 INFO  [org.jboss.as] (MSC service thread 1-2) WFLYSRV0049: WildFly Core 7.0.0.Alpha3-SNAPSHOT starting
2018-10-03 22:55:02,396 INFO  [org.xnio] (MSC service thread 1-5) XNIO version 3.6.5.Final
2018-10-03 22:55:02,402 INFO  [org.xnio.nio] (MSC service thread 1-5) XNIO NIO Implementation Version 3.6.5.Final
2018-10-03 22:55:02,438 INFO  [org.jboss.remoting] (MSC service thread 1-4) JBoss Remoting version 5.0.8.Final
2018-10-03 22:55:02,799 INFO  [org.wildfly.security] (ServerService Thread Pool -- 3) ELY00001: WildFly Elytron version 1.7.0.CR2
2018-10-03 22:55:04,288 ERROR [org.jboss.as.controller.management-operation] (Controller Boot Thread) WFLYCTL0013: Operation ("add") failed - address: ([("interface" => "public")]) - failure description: "WFLYCTL0149: No interface criteria was provided"
2018-10-03 22:55:04,334 INFO  [org.wildfly.extension.io] (ServerService Thread Pool -- 15) WFLYIO001: Worker 'default' has auto-configured to 8 core threads with 64 task threads based on your 4 available processors
2018-10-03 22:55:04,385 INFO  [org.jboss.as.patching] (MSC service thread 1-4) WFLYPAT0050: WildFly cumulative patch ID is: base, one-off patches include: none
22:55:04,499 INFO  [org.jboss.as.server] (Controller Boot Thread) WFLYSRV0212: Resuming server
22:55:04,502 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Core 7.0.0.Alpha3-SNAPSHOT started in 3358ms - Started 49 of 67 services (25 services are lazy, passive or on-demand)
22:55:04,651 INFO  [org.jboss.as.repository] (ServerService Thread Pool -- 16) WFLYDR0002: Content removed from location /home/hudson/hudson_workspace/workspace/eap-7.x-as-testsuite-core-rhel/b485da8d/testsuite/domain/target/domains/DomainTestSuite/master/servers/master-only-server/data/content/2a/43f59fe498a24015d4423a4f85ee06eb7812b7/content
22:55:04,663 INFO  [org.jboss.as.server] (ServerService Thread Pool -- 16) WFLYSRV0236: Suspending server with no timeout.
22:55:04,667 INFO  [org.jboss.as.server] (main) WFLYSRV0240: ProcessController has signalled to shut down; shutting down
22:55:04,702 INFO  [org.jboss.as] (MSC service thread 1-8) WFLYSRV0050: WildFly Core 7.0.0.Alpha3-SNAPSHOT stopped in 28ms
