2018-10-03 22:52:27,544 INFO  [org.jboss.modules] (main) JBoss Modules version 1.8.6.Final
2018-10-03 22:52:27,975 INFO  [org.jboss.msc] (main) JBoss MSC version 1.4.5.Final
2018-10-03 22:52:27,984 INFO  [org.jboss.threads] (main) JBoss Threads version 2.3.2.Final
2018-10-03 22:52:28,121 INFO  [org.jboss.as] (MSC service thread 1-1) WFLYSRV0049: WildFly Core 7.0.0.Alpha3-SNAPSHOT starting
2018-10-03 22:52:28,246 INFO  [org.xnio] (MSC service thread 1-3) XNIO version 3.6.5.Final
2018-10-03 22:52:28,253 INFO  [org.xnio.nio] (MSC service thread 1-3) XNIO NIO Implementation Version 3.6.5.Final
2018-10-03 22:52:28,289 INFO  [org.jboss.remoting] (MSC service thread 1-7) JBoss Remoting version 5.0.8.Final
2018-10-03 22:52:28,643 INFO  [org.wildfly.security] (ServerService Thread Pool -- 2) ELY00001: WildFly Elytron version 1.7.0.CR2
2018-10-03 22:52:29,385 INFO  [org.wildfly.extension.io] (ServerService Thread Pool -- 12) WFLYIO001: Worker 'default' has auto-configured to 8 core threads with 64 task threads based on your 4 available processors
2018-10-03 22:52:29,420 INFO  [org.jboss.as.patching] (MSC service thread 1-3) WFLYPAT0050: WildFly cumulative patch ID is: base, one-off patches include: none
2018-10-03 22:52:29,468 INFO  [org.jboss.as.remoting] (MSC service thread 1-3) WFLYRMT0001: Listening on 127.0.0.1:12345
2018-10-03 22:52:29,515 INFO  [org.jboss.as.server] (Controller Boot Thread) WFLYSRV0212: Resuming server
2018-10-03 22:52:29,518 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Core 7.0.0.Alpha3-SNAPSHOT started in 2612ms - Started 53 of 61 services (18 services are lazy, passive or on-demand)
2018-10-03 22:52:39,373 INFO  [org.jboss.as.server] (main) WFLYSRV0240: ProcessController has signalled to shut down; shutting down
2018-10-03 22:52:39,375 INFO  [org.jboss.as.server] (Thread-9) WFLYSRV0236: Suspending server with no timeout.
2018-10-03 22:52:39,397 INFO  [org.jboss.as] (MSC service thread 1-6) WFLYSRV0050: WildFly Core 7.0.0.Alpha3-SNAPSHOT stopped in 19ms
