2018-10-03 23:20:30,710 INFO  [org.jboss.modules] (main) JBoss Modules version 1.8.6.Final
2018-10-03 23:20:31,224 INFO  [org.jboss.msc] (main) JBoss MSC version 1.4.5.Final
2018-10-03 23:20:31,233 INFO  [org.jboss.threads] (main) JBoss Threads version 2.3.2.Final
2018-10-03 23:20:31,372 INFO  [org.jboss.as] (MSC service thread 1-2) WFLYSRV0049: WildFly Core 7.0.0.Alpha3-SNAPSHOT starting
2018-10-03 23:20:31,574 INFO  [org.xnio] (MSC service thread 1-4) XNIO version 3.6.5.Final
2018-10-03 23:20:31,580 INFO  [org.xnio.nio] (MSC service thread 1-4) XNIO NIO Implementation Version 3.6.5.Final
2018-10-03 23:20:31,616 INFO  [org.jboss.remoting] (MSC service thread 1-6) JBoss Remoting version 5.0.8.Final
2018-10-03 23:20:32,493 INFO  [org.wildfly.security] (ServerService Thread Pool -- 2) ELY00001: WildFly Elytron version 1.7.0.CR2
2018-10-03 23:20:33,947 INFO  [org.jboss.as.patching] (MSC service thread 1-2) WFLYPAT0050: WildFly cumulative patch ID is: base, one-off patches include: none
23:20:34,010 INFO  [org.jboss.as.server] (Controller Boot Thread) WFLYSRV0212: Resuming server
23:20:34,012 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Core 7.0.0.Alpha3-SNAPSHOT started in 4398ms - Started 42 of 58 services (21 services are lazy, passive or on-demand)
23:20:45,679 INFO  [org.jboss.as.server] (main) WFLYSRV0240: ProcessController has signalled to shut down; shutting down
23:20:45,683 INFO  [org.jboss.as.server] (Thread-9) WFLYSRV0236: Suspending server with no timeout.
23:20:45,727 INFO  [org.jboss.as] (MSC service thread 1-2) WFLYSRV0050: WildFly Core 7.0.0.Alpha3-SNAPSHOT stopped in 34ms
