2018-10-03 22:47:14,736 INFO  [org.jboss.modules] (main) JBoss Modules version 1.8.6.Final
2018-10-03 22:47:15,170 INFO  [org.jboss.msc] (main) JBoss MSC version 1.4.5.Final
2018-10-03 22:47:15,179 INFO  [org.jboss.threads] (main) JBoss Threads version 2.3.2.Final
2018-10-03 22:47:15,315 INFO  [org.jboss.as] (MSC service thread 1-2) WFLYSRV0049: WildFly Core 7.0.0.Alpha3-SNAPSHOT starting
2018-10-03 22:47:15,399 INFO  [org.xnio] (MSC service thread 1-2) XNIO version 3.6.5.Final
2018-10-03 22:47:15,404 INFO  [org.xnio.nio] (MSC service thread 1-2) XNIO NIO Implementation Version 3.6.5.Final
2018-10-03 22:47:15,440 INFO  [org.jboss.remoting] (MSC service thread 1-7) JBoss Remoting version 5.0.8.Final
2018-10-03 22:47:15,799 INFO  [org.wildfly.security] (ServerService Thread Pool -- 2) ELY00001: WildFly Elytron version 1.7.0.CR2
2018-10-03 22:47:16,666 INFO  [org.wildfly.extension.io] (ServerService Thread Pool -- 15) WFLYIO001: Worker 'default' has auto-configured to 8 core threads with 64 task threads based on your 4 available processors
2018-10-03 22:47:16,700 INFO  [org.jboss.as.patching] (MSC service thread 1-7) WFLYPAT0050: WildFly cumulative patch ID is: base, one-off patches include: none
22:47:16,810 INFO  [org.jboss.as.server] (Controller Boot Thread) WFLYSRV0212: Resuming server
22:47:16,824 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Core 7.0.0.Alpha3-SNAPSHOT started in 2686ms - Started 49 of 68 services (26 services are lazy, passive or on-demand)
22:47:30,209 INFO  [org.jboss.as.server] (main) WFLYSRV0240: ProcessController has signalled to shut down; shutting down
22:47:30,275 INFO  [org.jboss.as] (MSC service thread 1-3) WFLYSRV0050: WildFly Core 7.0.0.Alpha3-SNAPSHOT stopped in 54ms
22:47:31,627 INFO  [org.jboss.modules] (main) JBoss Modules version 1.8.6.Final
22:47:32,030 INFO  [org.jboss.msc] (main) JBoss MSC version 1.4.5.Final
22:47:32,039 INFO  [org.jboss.threads] (main) JBoss Threads version 2.3.2.Final
22:47:32,178 INFO  [org.jboss.as] (MSC service thread 1-2) WFLYSRV0049: WildFly Core 7.0.0.Alpha3-SNAPSHOT starting
22:47:32,324 INFO  [org.xnio] (MSC service thread 1-6) XNIO version 3.6.5.Final
22:47:32,331 INFO  [org.xnio.nio] (MSC service thread 1-6) XNIO NIO Implementation Version 3.6.5.Final
22:47:32,366 INFO  [org.jboss.remoting] (MSC service thread 1-2) JBoss Remoting version 5.0.8.Final
22:47:32,731 INFO  [org.wildfly.security] (ServerService Thread Pool -- 2) ELY00001: WildFly Elytron version 1.7.0.CR2
22:47:33,587 INFO  [org.wildfly.extension.io] (ServerService Thread Pool -- 15) WFLYIO001: Worker 'default' has auto-configured to 8 core threads with 64 task threads based on your 4 available processors
22:47:33,621 INFO  [org.jboss.as.patching] (MSC service thread 1-2) WFLYPAT0050: WildFly cumulative patch ID is: base, one-off patches include: none
22:47:33,701 INFO  [org.jboss.as.server] (Controller Boot Thread) WFLYSRV0212: Resuming server
22:47:33,704 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Core 7.0.0.Alpha3-SNAPSHOT started in 2700ms - Started 49 of 68 services (26 services are lazy, passive or on-demand)
22:47:35,031 INFO  [org.jboss.as.server] (main) WFLYSRV0240: ProcessController has signalled to shut down; shutting down
22:47:35,082 INFO  [org.jboss.as] (MSC service thread 1-1) WFLYSRV0050: WildFly Core 7.0.0.Alpha3-SNAPSHOT stopped in 39ms
22:47:36,654 INFO  [org.jboss.modules] (main) JBoss Modules version 1.8.6.Final
22:47:37,364 INFO  [org.jboss.msc] (main) JBoss MSC version 1.4.5.Final
22:47:37,373 INFO  [org.jboss.threads] (main) JBoss Threads version 2.3.2.Final
22:47:37,514 INFO  [org.jboss.as] (MSC service thread 1-1) WFLYSRV0049: WildFly Core 7.0.0.Alpha3-SNAPSHOT starting
22:47:37,655 INFO  [org.xnio] (MSC service thread 1-2) XNIO version 3.6.5.Final
22:47:37,661 INFO  [org.xnio.nio] (MSC service thread 1-2) XNIO NIO Implementation Version 3.6.5.Final
22:47:37,696 INFO  [org.jboss.remoting] (MSC service thread 1-3) JBoss Remoting version 5.0.8.Final
22:47:38,047 INFO  [org.wildfly.security] (ServerService Thread Pool -- 2) ELY00001: WildFly Elytron version 1.7.0.CR2
22:47:38,793 INFO  [org.wildfly.extension.io] (ServerService Thread Pool -- 15) WFLYIO001: Worker 'default' has auto-configured to 8 core threads with 64 task threads based on your 4 available processors
22:47:38,825 INFO  [org.jboss.as.patching] (MSC service thread 1-8) WFLYPAT0050: WildFly cumulative patch ID is: base, one-off patches include: none
22:47:38,907 INFO  [org.jboss.as.server] (Controller Boot Thread) WFLYSRV0212: Resuming server
22:47:38,911 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Core 7.0.0.Alpha3-SNAPSHOT started in 3162ms - Started 49 of 68 services (26 services are lazy, passive or on-demand)
22:47:39,814 INFO  [org.jboss.as.server] (main) WFLYSRV0240: ProcessController has signalled to shut down; shutting down
22:47:39,843 INFO  [org.jboss.as] (MSC service thread 1-6) WFLYSRV0050: WildFly Core 7.0.0.Alpha3-SNAPSHOT stopped in 20ms
22:47:41,146 INFO  [org.jboss.modules] (main) JBoss Modules version 1.8.6.Final
22:47:41,597 INFO  [org.jboss.msc] (main) JBoss MSC version 1.4.5.Final
22:47:41,605 INFO  [org.jboss.threads] (main) JBoss Threads version 2.3.2.Final
22:47:41,744 INFO  [org.jboss.as] (MSC service thread 1-2) WFLYSRV0049: WildFly Core 7.0.0.Alpha3-SNAPSHOT starting
22:47:41,834 INFO  [org.xnio] (MSC service thread 1-3) XNIO version 3.6.5.Final
22:47:41,840 INFO  [org.xnio.nio] (MSC service thread 1-3) XNIO NIO Implementation Version 3.6.5.Final
22:47:41,880 INFO  [org.jboss.remoting] (MSC service thread 1-6) JBoss Remoting version 5.0.8.Final
22:47:42,263 INFO  [org.wildfly.security] (ServerService Thread Pool -- 2) ELY00001: WildFly Elytron version 1.7.0.CR2
22:47:43,068 INFO  [org.wildfly.extension.io] (ServerService Thread Pool -- 15) WFLYIO001: Worker 'default' has auto-configured to 8 core threads with 64 task threads based on your 4 available processors
22:47:43,102 INFO  [org.jboss.as.patching] (MSC service thread 1-6) WFLYPAT0050: WildFly cumulative patch ID is: base, one-off patches include: none
22:47:43,182 INFO  [org.jboss.as.server] (Controller Boot Thread) WFLYSRV0212: Resuming server
