2018-10-03 23:17:16,165 INFO  [org.jboss.modules] (main) JBoss Modules version 1.8.6.Final
2018-10-03 23:17:16,777 INFO  [org.jboss.msc] (main) JBoss MSC version 1.4.5.Final
2018-10-03 23:17:16,785 INFO  [org.jboss.threads] (main) JBoss Threads version 2.3.2.Final
2018-10-03 23:17:16,928 INFO  [org.jboss.as] (MSC service thread 1-2) WFLYSRV0049: WildFly Core 7.0.0.Alpha3-SNAPSHOT starting
2018-10-03 23:17:17,111 INFO  [org.xnio] (MSC service thread 1-4) XNIO version 3.6.5.Final
2018-10-03 23:17:17,132 INFO  [org.xnio.nio] (MSC service thread 1-4) XNIO NIO Implementation Version 3.6.5.Final
2018-10-03 23:17:17,167 INFO  [org.jboss.remoting] (MSC service thread 1-6) JBoss Remoting version 5.0.8.Final
2018-10-03 23:17:17,565 INFO  [org.wildfly.security] (ServerService Thread Pool -- 2) ELY00001: WildFly Elytron version 1.7.0.CR2
2018-10-03 23:17:18,492 INFO  [org.wildfly.extension.io] (ServerService Thread Pool -- 2) WFLYIO001: Worker 'default' has auto-configured to 8 core threads with 64 task threads based on your 4 available processors
2018-10-03 23:17:18,556 INFO  [org.jboss.as.patching] (MSC service thread 1-8) WFLYPAT0050: WildFly cumulative patch ID is: base, one-off patches include: none
23:17:18,707 INFO  [org.jboss.as.server] (Controller Boot Thread) WFLYSRV0212: Resuming server
23:17:18,709 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Core 7.0.0.Alpha3-SNAPSHOT started in 3240ms - Started 50 of 69 services (27 services are lazy, passive or on-demand)
23:17:24,369 INFO  [org.jboss.as.server] (main) WFLYSRV0240: ProcessController has signalled to shut down; shutting down
23:17:24,375 INFO  [org.jboss.as.server] (Thread-9) WFLYSRV0236: Suspending server with no timeout.
23:17:24,427 INFO  [org.jboss.as] (MSC service thread 1-6) WFLYSRV0050: WildFly Core 7.0.0.Alpha3-SNAPSHOT stopped in 46ms
23:17:28,887 INFO  [org.jboss.modules] (main) JBoss Modules version 1.8.6.Final
23:17:29,280 INFO  [org.jboss.msc] (main) JBoss MSC version 1.4.5.Final
23:17:29,289 INFO  [org.jboss.threads] (main) JBoss Threads version 2.3.2.Final
23:17:29,434 INFO  [org.jboss.as] (MSC service thread 1-1) WFLYSRV0049: WildFly Core 7.0.0.Alpha3-SNAPSHOT starting
23:17:29,570 INFO  [org.xnio] (MSC service thread 1-1) XNIO version 3.6.5.Final
23:17:29,577 INFO  [org.xnio.nio] (MSC service thread 1-1) XNIO NIO Implementation Version 3.6.5.Final
23:17:29,624 INFO  [org.jboss.remoting] (MSC service thread 1-3) JBoss Remoting version 5.0.8.Final
23:17:30,008 INFO  [org.wildfly.security] (ServerService Thread Pool -- 2) ELY00001: WildFly Elytron version 1.7.0.CR2
23:17:30,785 INFO  [org.wildfly.extension.io] (ServerService Thread Pool -- 8) WFLYIO001: Worker 'default' has auto-configured to 8 core threads with 64 task threads based on your 4 available processors
23:17:30,838 INFO  [org.jboss.as.patching] (MSC service thread 1-3) WFLYPAT0050: WildFly cumulative patch ID is: base, one-off patches include: none
23:17:30,981 INFO  [org.jboss.as.server] (Controller Boot Thread) WFLYSRV0212: Resuming server
23:17:30,984 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Core 7.0.0.Alpha3-SNAPSHOT started in 3154ms - Started 50 of 69 services (27 services are lazy, passive or on-demand)
23:17:31,137 INFO  [org.jboss.as.server] (main) WFLYSRV0240: ProcessController has signalled to shut down; shutting down
23:17:31,142 INFO  [org.jboss.as.server] (Thread-9) WFLYSRV0236: Suspending server with no timeout.
23:17:31,188 INFO  [org.jboss.as] (MSC service thread 1-2) WFLYSRV0050: WildFly Core 7.0.0.Alpha3-SNAPSHOT stopped in 42ms
