2018-10-03 23:21:33,922 INFO  [org.jboss.modules] (main) JBoss Modules version 1.8.6.Final
2018-10-03 23:21:34,290 INFO  [org.jboss.msc] (main) JBoss MSC version 1.4.5.Final
2018-10-03 23:21:34,300 INFO  [org.jboss.threads] (main) JBoss Threads version 2.3.2.Final
2018-10-03 23:21:34,352 INFO  [org.jboss.as] (MSC service thread 1-2) WFLYSRV0049: WildFly Core 7.0.0.Alpha3-SNAPSHOT starting
2018-10-03 23:21:34,924 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/host=master/core-service=management/management-interface=http-interface' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2018-10-03 23:21:34,940 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0003: Creating http management service using network interface (management) port (9990) securePort (-1)
2018-10-03 23:21:34,961 INFO  [org.xnio] (MSC service thread 1-4) XNIO version 3.6.5.Final
2018-10-03 23:21:34,969 INFO  [org.xnio.nio] (MSC service thread 1-4) XNIO NIO Implementation Version 3.6.5.Final
2018-10-03 23:21:35,004 INFO  [org.jboss.as.patching] (MSC service thread 1-5) WFLYPAT0050: WildFly cumulative patch ID is: base, one-off patches include: none
2018-10-03 23:21:35,026 INFO  [org.jboss.remoting] (MSC service thread 1-3) JBoss Remoting version 5.0.8.Final
2018-10-03 23:21:35,087 WARN  [org.jboss.as.domain.http.api.undertow] (MSC service thread 1-8) WFLYDMHTTP0003: Unable to load console module for slot main, disabling console
2018-10-03 23:21:35,329 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0018: Reconnecting server respawn-one
2018-10-03 23:21:35,330 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0018: Reconnecting server respawn-two
2018-10-03 23:21:35,346 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0062: Http management interface listening on http://127.0.0.1:9990/management and https://127.0.0.1:-1/management
2018-10-03 23:21:35,347 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0053: Admin console listening on http://127.0.0.1:9990 and https://127.0.0.1:-1
2018-10-03 23:21:35,347 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Core 7.0.0.Alpha3-SNAPSHOT (Host Controller) started in 2072ms - Started 48 of 50 services (13 services are lazy, passive or on-demand)
2018-10-03 23:21:35,422 INFO  [org.jboss.as.host.controller] (management task-5) WFLYHC0021: Server [Server:respawn-two] connected using connection [Channel ID 6fca288b (inbound) of Remoting connection 4a9a5045 to rhel7-large-81357/127.0.0.1:46494 of endpoint "master:MANAGEMENT" <8d00e858>]
2018-10-03 23:21:35,422 INFO  [org.jboss.as.host.controller] (management task-6) WFLYHC0021: Server [Server:respawn-one] connected using connection [Channel ID 68939f60 (inbound) of Remoting connection c72b6bfd to rhel7-large-81357/127.0.0.1:46492 of endpoint "master:MANAGEMENT" <8d00e858>]
2018-10-03 23:21:35,428 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 2) WFLYHC0020: Registering server respawn-two
2018-10-03 23:21:35,433 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 5) WFLYHC0020: Registering server respawn-one
2018-10-03 23:21:36,308 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 6) WFLYHC0024: Stopping server respawn-two
2018-10-03 23:21:36,310 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 6) WFLYHC0024: Stopping server respawn-one
2018-10-03 23:21:36,359 INFO  [org.jboss.as.host.controller] (management I/O-1) WFLYHC0027: Unregistering server respawn-two
2018-10-03 23:21:36,365 INFO  [org.jboss.as.host.controller] (management I/O-1) WFLYHC0027: Unregistering server respawn-one
2018-10-03 23:21:36,407 INFO  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 2) WFLYHC0027: Unregistering server respawn-two
2018-10-03 23:21:36,408 INFO  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 3) WFLYHC0027: Unregistering server respawn-one
2018-10-03 23:21:36,465 INFO  [org.jboss.as] (MSC service thread 1-3) WFLYSRV0050: WildFly Core 7.0.0.Alpha3-SNAPSHOT stopped in 161ms
2018-10-03 23:21:36,466 INFO  [org.jboss.as] (MSC service thread 1-4) WFLYSRV0049: WildFly Core 7.0.0.Alpha3-SNAPSHOT starting
2018-10-03 23:21:36,521 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/host=master/core-service=management/management-interface=http-interface' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
