2018-10-03 22:46:17,355 INFO  [org.jboss.modules] (main) JBoss Modules version 1.8.6.Final
2018-10-03 22:46:17,815 INFO  [org.jboss.msc] (main) JBoss MSC version 1.4.5.Final
2018-10-03 22:46:17,823 INFO  [org.jboss.threads] (main) JBoss Threads version 2.3.2.Final
2018-10-03 22:46:17,956 INFO  [org.jboss.as] (MSC service thread 1-2) WFLYSRV0049: WildFly Core 7.0.0.Alpha3-SNAPSHOT starting
2018-10-03 22:46:18,039 INFO  [org.xnio] (MSC service thread 1-1) XNIO version 3.6.5.Final
2018-10-03 22:46:18,046 INFO  [org.xnio.nio] (MSC service thread 1-1) XNIO NIO Implementation Version 3.6.5.Final
2018-10-03 22:46:18,082 INFO  [org.jboss.remoting] (MSC service thread 1-8) JBoss Remoting version 5.0.8.Final
2018-10-03 22:46:18,462 INFO  [org.wildfly.security] (ServerService Thread Pool -- 2) ELY00001: WildFly Elytron version 1.7.0.CR2
2018-10-03 22:46:19,177 INFO  [org.jboss.as.patching] (MSC service thread 1-8) WFLYPAT0050: WildFly cumulative patch ID is: base, one-off patches include: none
22:46:19,236 INFO  [org.jboss.as.server] (Controller Boot Thread) WFLYSRV0212: Resuming server
22:46:19,239 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Core 7.0.0.Alpha3-SNAPSHOT started in 3202ms - Started 43 of 67 services (30 services are lazy, passive or on-demand)
22:46:22,116 INFO  [org.jboss.as.server] (ServerService Thread Pool -- 2) WFLYSRV0236: Suspending server with no timeout.
22:46:22,126 INFO  [org.jboss.as.server] (main) WFLYSRV0240: ProcessController has signalled to shut down; shutting down
22:46:22,184 INFO  [org.jboss.as] (MSC service thread 1-6) WFLYSRV0050: WildFly Core 7.0.0.Alpha3-SNAPSHOT stopped in 47ms
22:46:43,088 INFO  [org.jboss.modules] (main) JBoss Modules version 1.8.6.Final
22:46:43,539 INFO  [org.jboss.msc] (main) JBoss MSC version 1.4.5.Final
22:46:43,547 INFO  [org.jboss.threads] (main) JBoss Threads version 2.3.2.Final
22:46:43,681 INFO  [org.jboss.as] (MSC service thread 1-2) WFLYSRV0049: WildFly Core 7.0.0.Alpha3-SNAPSHOT starting
22:46:43,768 INFO  [org.xnio] (MSC service thread 1-1) XNIO version 3.6.5.Final
22:46:43,773 INFO  [org.xnio.nio] (MSC service thread 1-1) XNIO NIO Implementation Version 3.6.5.Final
22:46:43,812 INFO  [org.jboss.remoting] (MSC service thread 1-8) JBoss Remoting version 5.0.8.Final
22:46:44,369 INFO  [org.wildfly.security] (ServerService Thread Pool -- 2) ELY00001: WildFly Elytron version 1.7.0.CR2
22:46:45,989 INFO  [org.jboss.as.patching] (MSC service thread 1-5) WFLYPAT0050: WildFly cumulative patch ID is: base, one-off patches include: none
22:46:46,094 INFO  [org.jboss.as.server] (Controller Boot Thread) WFLYSRV0212: Resuming server
22:46:46,097 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Core 7.0.0.Alpha3-SNAPSHOT started in 3853ms - Started 43 of 67 services (30 services are lazy, passive or on-demand)
22:47:07,416 INFO  [org.jboss.as.server] (main) WFLYSRV0240: ProcessController has signalled to shut down; shutting down
22:47:07,422 INFO  [org.jboss.as.server] (Thread-9) WFLYSRV0236: Suspending server with no timeout.
22:47:07,512 INFO  [org.jboss.as] (MSC service thread 1-3) WFLYSRV0050: WildFly Core 7.0.0.Alpha3-SNAPSHOT stopped in 42ms
