2018-10-03 23:13:44,677 INFO  [org.jboss.modules] (main) JBoss Modules version 1.8.6.Final
2018-10-03 23:13:45,151 INFO  [org.jboss.msc] (main) JBoss MSC version 1.4.5.Final
2018-10-03 23:13:45,160 INFO  [org.jboss.threads] (main) JBoss Threads version 2.3.2.Final
2018-10-03 23:13:45,297 INFO  [org.jboss.as] (MSC service thread 1-2) WFLYSRV0049: WildFly Core 7.0.0.Alpha3-SNAPSHOT starting
2018-10-03 23:13:45,384 INFO  [org.xnio] (MSC service thread 1-2) XNIO version 3.6.5.Final
2018-10-03 23:13:45,390 INFO  [org.xnio.nio] (MSC service thread 1-2) XNIO NIO Implementation Version 3.6.5.Final
2018-10-03 23:13:45,425 INFO  [org.jboss.remoting] (MSC service thread 1-3) JBoss Remoting version 5.0.8.Final
2018-10-03 23:13:45,765 INFO  [org.wildfly.security] (ServerService Thread Pool -- 2) ELY00001: WildFly Elytron version 1.7.0.CR2
2018-10-03 23:13:46,477 INFO  [org.jboss.as.patching] (MSC service thread 1-7) WFLYPAT0050: WildFly cumulative patch ID is: base, one-off patches include: none
23:13:46,539 INFO  [org.jboss.as.server] (Controller Boot Thread) WFLYSRV0212: Resuming server
23:13:46,541 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Core 7.0.0.Alpha3-SNAPSHOT started in 2490ms - Started 42 of 58 services (21 services are lazy, passive or on-demand)
23:13:57,076 INFO  [org.jboss.as.server] (ServerService Thread Pool -- 2) WFLYSRV0236: Suspending server with no timeout.
23:13:57,133 INFO  [org.jboss.as.server] (main) WFLYSRV0240: ProcessController has signalled to shut down; shutting down
23:13:57,231 INFO  [org.jboss.as] (MSC service thread 1-1) WFLYSRV0050: WildFly Core 7.0.0.Alpha3-SNAPSHOT stopped in 77ms
23:13:58,910 INFO  [org.jboss.modules] (main) JBoss Modules version 1.8.6.Final
23:13:59,305 INFO  [org.jboss.msc] (main) JBoss MSC version 1.4.5.Final
23:13:59,314 INFO  [org.jboss.threads] (main) JBoss Threads version 2.3.2.Final
23:13:59,450 INFO  [org.jboss.as] (MSC service thread 1-1) WFLYSRV0049: WildFly Core 7.0.0.Alpha3-SNAPSHOT starting
23:13:59,535 INFO  [org.xnio] (MSC service thread 1-7) XNIO version 3.6.5.Final
23:13:59,541 INFO  [org.xnio.nio] (MSC service thread 1-7) XNIO NIO Implementation Version 3.6.5.Final
23:13:59,576 INFO  [org.jboss.remoting] (MSC service thread 1-1) JBoss Remoting version 5.0.8.Final
23:13:59,958 INFO  [org.wildfly.security] (ServerService Thread Pool -- 2) ELY00001: WildFly Elytron version 1.7.0.CR2
23:14:00,998 INFO  [org.jboss.as.patching] (MSC service thread 1-4) WFLYPAT0050: WildFly cumulative patch ID is: base, one-off patches include: none
23:14:01,223 INFO  [org.jboss.as.server] (Controller Boot Thread) WFLYSRV0212: Resuming server
23:14:01,230 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Core 7.0.0.Alpha3-SNAPSHOT started in 3288ms - Started 42 of 58 services (21 services are lazy, passive or on-demand)
23:14:04,298 INFO  [org.jboss.as.server] (ServerService Thread Pool -- 2) WFLYSRV0236: Suspending server with no timeout.
23:14:04,341 INFO  [org.jboss.as.server] (main) WFLYSRV0240: ProcessController has signalled to shut down; shutting down
23:14:04,371 INFO  [org.jboss.as] (MSC service thread 1-2) WFLYSRV0050: WildFly Core 7.0.0.Alpha3-SNAPSHOT stopped in 20ms
23:14:05,403 INFO  [org.jboss.modules] (main) JBoss Modules version 1.8.6.Final
23:14:05,810 INFO  [org.jboss.msc] (main) JBoss MSC version 1.4.5.Final
23:14:05,819 INFO  [org.jboss.threads] (main) JBoss Threads version 2.3.2.Final
23:14:06,035 INFO  [org.jboss.as] (MSC service thread 1-2) WFLYSRV0049: WildFly Core 7.0.0.Alpha3-SNAPSHOT starting
23:14:06,238 INFO  [org.xnio] (MSC service thread 1-6) XNIO version 3.6.5.Final
23:14:06,246 INFO  [org.xnio.nio] (MSC service thread 1-6) XNIO NIO Implementation Version 3.6.5.Final
23:14:06,293 INFO  [org.jboss.remoting] (MSC service thread 1-3) JBoss Remoting version 5.0.8.Final
23:14:07,157 INFO  [org.wildfly.security] (ServerService Thread Pool -- 2) ELY00001: WildFly Elytron version 1.7.0.CR2
23:14:08,001 INFO  [org.jboss.as.patching] (MSC service thread 1-3) WFLYPAT0050: WildFly cumulative patch ID is: base, one-off patches include: none
23:14:08,044 INFO  [org.jboss.as.server] (Controller Boot Thread) WFLYSRV0212: Resuming server
23:14:08,046 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Core 7.0.0.Alpha3-SNAPSHOT started in 3300ms - Started 42 of 58 services (21 services are lazy, passive or on-demand)
23:14:11,460 INFO  [org.jboss.as.server] (ServerService Thread Pool -- 2) WFLYSRV0236: Suspending server with no timeout.
23:14:11,504 INFO  [org.jboss.as.server] (main) WFLYSRV0240: ProcessController has signalled to shut down; shutting down
23:14:11,549 INFO  [org.jboss.as] (MSC service thread 1-6) WFLYSRV0050: WildFly Core 7.0.0.Alpha3-SNAPSHOT stopped in 38ms
23:14:12,601 INFO  [org.jboss.modules] (main) JBoss Modules version 1.8.6.Final
23:14:13,038 INFO  [org.jboss.msc] (main) JBoss MSC version 1.4.5.Final
23:14:13,047 INFO  [org.jboss.threads] (main) JBoss Threads version 2.3.2.Final
23:14:13,186 INFO  [org.jboss.as] (MSC service thread 1-2) WFLYSRV0049: WildFly Core 7.0.0.Alpha3-SNAPSHOT starting
23:14:13,287 INFO  [org.xnio] (MSC service thread 1-3) XNIO version 3.6.5.Final
