2018-10-03 22:40:00,370 INFO  [org.jboss.modules] (main) JBoss Modules version 1.8.6.Final
2018-10-03 22:40:00,805 INFO  [org.jboss.msc] (main) JBoss MSC version 1.4.5.Final
2018-10-03 22:40:00,816 INFO  [org.jboss.threads] (main) JBoss Threads version 2.3.2.Final
2018-10-03 22:40:00,882 INFO  [org.jboss.as] (MSC service thread 1-1) WFLYSRV0049: WildFly Core 7.0.0.Alpha3-SNAPSHOT starting
2018-10-03 22:40:01,459 INFO  [org.wildfly.security] (Host Controller Service Threads - 4) ELY00001: WildFly Elytron version 1.7.0.CR2
2018-10-03 22:40:01,881 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/host=master/core-service=management/management-interface=http-interface' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2018-10-03 22:40:01,961 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0003: Creating http management service using network interface (management) port (9990) securePort (-1)
2018-10-03 22:40:01,995 INFO  [org.xnio] (MSC service thread 1-3) XNIO version 3.6.5.Final
2018-10-03 22:40:02,005 INFO  [org.xnio.nio] (MSC service thread 1-3) XNIO NIO Implementation Version 3.6.5.Final
2018-10-03 22:40:02,062 INFO  [org.jboss.remoting] (MSC service thread 1-1) JBoss Remoting version 5.0.8.Final
2018-10-03 22:40:02,141 INFO  [org.jboss.as.patching] (MSC service thread 1-3) WFLYPAT0050: WildFly cumulative patch ID is: base, one-off patches include: none
2018-10-03 22:40:02,219 WARN  [org.jboss.as.domain.http.api.undertow] (MSC service thread 1-2) WFLYDMHTTP0003: Unable to load console module for slot main, disabling console
2018-10-03 22:40:02,735 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server server-one
2018-10-03 22:40:06,473 INFO  [org.jboss.as.host.controller] (management task-1) WFLYHC0021: Server [Server:server-one] connected using connection [Channel ID 4eec78de (inbound) of Remoting connection c9c011c9 to rhel7-large-81357/127.0.0.1:34368 of endpoint "master:MANAGEMENT" <14f3070b>]
2018-10-03 22:40:06,497 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server server-two
2018-10-03 22:40:06,506 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server server-one
2018-10-03 22:40:09,317 INFO  [org.jboss.as.host.controller] (management task-1) WFLYHC0021: Server [Server:server-two] connected using connection [Channel ID 190a52e5 (inbound) of Remoting connection 22bc7659 to rhel7-large-81357/127.0.0.1:34370 of endpoint "master:MANAGEMENT" <14f3070b>]
2018-10-03 22:40:09,336 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server server-two
2018-10-03 22:40:09,337 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0062: Http management interface listening on http://127.0.0.1:9990/management and https://127.0.0.1:-1/management
2018-10-03 22:40:09,338 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0053: Admin console listening on http://127.0.0.1:9990 and https://127.0.0.1:-1
2018-10-03 22:40:09,339 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Core 7.0.0.Alpha3-SNAPSHOT (Host Controller) started in 9382ms - Started 77 of 79 services (21 services are lazy, passive or on-demand)
2018-10-03 22:40:10,148 INFO  [org.jboss.as.host.controller] (management-handler-thread - 1) WFLYHC0180: Shutting down in response to management operation 'shutdown'
2018-10-03 22:40:10,192 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 13) WFLYHC0024: Stopping server server-one
2018-10-03 22:40:10,194 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 13) WFLYHC0024: Stopping server server-two
2018-10-03 22:40:10,257 INFO  [org.jboss.as.host.controller] (management I/O-1) WFLYHC0027: Unregistering server server-two
2018-10-03 22:40:10,303 INFO  [org.jboss.as.host.controller] (management I/O-1) WFLYHC0027: Unregistering server server-one
2018-10-03 22:40:10,363 INFO  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 2) WFLYHC0027: Unregistering server server-two
2018-10-03 22:40:10,364 INFO  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 3) WFLYHC0027: Unregistering server server-one
2018-10-03 22:40:10,411 INFO  [org.jboss.as] (MSC service thread 1-4) WFLYSRV0050: WildFly Core 7.0.0.Alpha3-SNAPSHOT stopped in 235ms
